First sequence, Second sequence, Identity Score 
AM910404/Nicaragua,AM910403/Nicaragua,0.990769230769
AM910404/Nicaragua,AM910407/Nicaragua,0.990769230769
AM910404/Nicaragua,AM910406/Nicaragua,0.990769230769
AM910404/Nicaragua,AM910405//Nicaragua,0.991794871795
AM910404/Nicaragua,AM910401//Nicaragua,0.908717948718
AM910404/Nicaragua,AM910400/Nicaragua,0.89641025641
AM910404/Nicaragua,AM910398/Nicaragua,0.89641025641
AM910404/Nicaragua,AM910399/Nicaragua,0.911794871795
AM910404/Nicaragua,HQ207542/India,0.713052858684
AM910404/Nicaragua,HQ207538//India,0.724919093851
AM910404/Nicaragua,HQ207533/India,0.757281553398
AM910404/Nicaragua,HQ207535//India,0.765911542611
AM910404/Nicaragua,HQ207532/India,0.766990291262
AM910404/Nicaragua,HQ207539/India,0.724919093851
AM910404/Nicaragua,HQ207534/India,0.761596548004
AM910404/Nicaragua,HQ207536/India,0.75161987041
AM910404/Nicaragua,HQ207537//India,0.747572815534
AM910404/Nicaragua,HQ207540/India,0.792656587473
AM910404/Nicaragua,DQ925464/VietNam,0.826666666667
AM910404/Nicaragua,LC114495/Japan,0.777422790202
AM910404/Nicaragua,LC114510/Japan,0.787007454739
AM910404/Nicaragua,AJ628756/China,0.806146572104
AM910404/Nicaragua,LC114506/Japan,0.784877529286
AM910404/Nicaragua,LC114505/Japan,0.806896551724
AM910404/Nicaragua,LC114497/Japan,0.794462193823
AM910404/Nicaragua,LC114493//Japan,0.785942492013
AM910404/Nicaragua,JN692172/China,0.638888888889
AM910404/Nicaragua,LC114498/Japan,0.793397231097
AM910404/Nicaragua,LC114513/Japan,0.798722044728
AM910404/Nicaragua,AY994105/NewZealand,0.806153846154
AM910404/Nicaragua,AY994104/NewZealand,0.809230769231
AM910404/Nicaragua,DQ925466/VietNam,0.858837485172
AM910404/Nicaragua,HQ207541/India,0.697950377562
AM910404/Nicaragua,HQ207530/India,0.836030204962
AM910404/Nicaragua,HQ207531/India,0.849567099567
AM910404/Nicaragua,CW_G4_1/Florida,0.646026831785
AM910404/Nicaragua,WX_Fl1/Florida,0.653250773994
AM910404/Nicaragua,PJ_G2_2/Florida,0.644994840041
AM910404/Nicaragua,FC_3B_1/Florida,0.641898864809
AM910404/Nicaragua,MM_G2-1/Florida,0.641898864809
AM910404/Nicaragua,MM_1_5/Florida,0.643962848297
AM910404/Nicaragua,El_G2_3/Florida,0.643962848297
AM910404/Nicaragua,El_1_2/Florida,0.644994840041
AM910404/Nicaragua,El_1_1/Florida,0.644994840041
AM910404/Nicaragua,El_G2_2/Florida,0.644994840041
AM910404/Nicaragua,FH_G2_5/Florida,0.643962848297
AM910404/Nicaragua,FH_2G_3/Florida,0.642930856553
AM910404/Nicaragua,PJ_4G_4/Florida,0.65291005291
AM910404/Nicaragua,Aa_1_4/Florida,0.642930856553
AM910404/Nicaragua,Aa_1_1/Florida,0.642930856553
AM910404/Nicaragua,Aa_2_1/Florida,0.643962848297
AM910404/Nicaragua,CW_2/Florida,0.643962848297
AM910404/Nicaragua,Aa_G1_3/Florida,0.643962848297
AM910404/Nicaragua,PB_G4_3/Florida,0.648090815273
AM910404/Nicaragua,PB_G4_1/Florida,0.647058823529
AM910404/Nicaragua,FC_4B_1/Florida,0.65737874097
AM910404/Nicaragua,CW_G_4_4/Florida,0.656346749226
AM910404/Nicaragua,CW_G5_5/Florida,0.654282765738
AM910404/Nicaragua,KJ786965/India,0.840345199569
AM910404/Nicaragua,AF169832/Taiwan,0.815384615385
AM910404/Nicaragua,KT026108/India,0.862998921251
AM910404/Nicaragua,LC114514/Japan,0.866883116883
AM910404/Nicaragua,LC114500/Japan,0.84
AM910404/Nicaragua,LC114507/Japan,0.844594594595
AM910404/Nicaragua,AJ298036/Japan,0.848975188781
AM910404/Nicaragua,DQ925465/VietNam,0.865010799136
AM910404/Nicaragua,LC114502/Japan,0.851230425056
AM910404/Nicaragua,LC114499/Japan,0.846756152125
AM910404/Nicaragua,LC114494/Japan,0.845804988662
AM910404/Nicaragua,LC114509/Japan,0.848975188781
AM910404/Nicaragua,LC114508/Japan,0.851132686084
AM910404/Nicaragua,Aa_2/Florida,0.676406926407
AM910404/Nicaragua,Aa_1/Florida,0.680735930736
AM910404/Nicaragua,CJr_G2_4/Florida,0.677489177489
AM910404/Nicaragua,CJr_G2_3/Florida,0.678571428571
AM910404/Nicaragua,AF048981/Florida,0.857605177994
AM910404/Nicaragua,PJ_G4_2/Florida,0.681818181818
AM910404/Nicaragua,PJ_G4_1/Florida,0.679653679654
AM910404/Nicaragua,AJ298035/Japan,0.897106109325
AM910404/Nicaragua,LC114496/Japan,0.87074829932
AM910404/Nicaragua,JN692173/China,0.934156378601
AM910404/Nicaragua,EF199550/China,0.910769230769
AM910404/Nicaragua,DMU08124/Florida,0.859139784946
AM910404/Nicaragua,LC114512/Japan,0.858683926645
AM910404/Nicaragua,AF511485/Taiwan,0.853004291845
AM910404/Nicaragua,KT372699/Taiwan,0.848387096774
AM910404/Nicaragua,CJr_G1_4/Florida,0.654800431499
AM910404/Nicaragua,CJr_G1_3/Florida,0.655879180151
AM910404/Nicaragua,Aa_G2_4/Florida,0.656957928803
AM910404/Nicaragua,PB_H4_2/Florida,0.672060409924
AM910404/Nicaragua,CW_2H_1/Florida,0.672060409924
AM910404/Nicaragua,CW_2H_2/Florida,0.670981661273
AM910404/Nicaragua,CW_G3_3/Florida,0.673139158576
AM910404/Nicaragua,FH_2H_3/Florida,0.673139158576
AM910404/Nicaragua,CW_H4_2/Florida,0.666666666667
AM910404/Nicaragua,PB_2G_3/Florida,0.672060409924
AM910404/Nicaragua,CW_H4_3/Florida,0.666666666667
AM910404/Nicaragua,PB_2H_1/Florida,0.672060409924
AM910404/Nicaragua,AJ298034/China,0.84623655914
AM910404/Nicaragua,DMU00122/Florida,0.887179487179
AM910404/Nicaragua,PB_H1_1/Florida,0.685746352413
AM910404/Nicaragua,AJ298033/China,0.845161290323
AM910404/Nicaragua,LC114515/Japan,0.836030204962
AM910404/Nicaragua,LC114501/Japan,0.838187702265
AM910404/Nicaragua,LC114511/Japan,0.850053937433
AM910404/Nicaragua,HQ207529/India,0.838187702265
AM910404/Nicaragua,FJ160764/India,0.846817691478
AM910404/Nicaragua,Aa_G1_1/Florida,0.649122807018
AM910404/Nicaragua,MM_G2_3/Florida,0.672095548317
AM910404/Nicaragua,PB_G2_4/Florida,0.681127982646
AM910404/Nicaragua,FH_G2_2/Florida,0.672077922078
AM910404/Nicaragua,PB_G2_2/Florida,0.680390032503
AM910404/Nicaragua,PB_G1_1/Florida,0.683640303359
AM910404/Nicaragua,FC_G4B_3/Florida,0.68255687974
AM910404/Nicaragua,FH_2G_4/Florida,0.68255687974
AM910404/Nicaragua,RF_160_1/Florida,0.6829004329
AM910404/Nicaragua,Aa_14_4/Florida,0.687973997833
AM910404/Nicaragua,FC_G1B_1/Florida,0.686890574215
AM910404/Nicaragua,FC_G1B_2/Florida,0.689057421452
AM910404/Nicaragua,CW_G5_2/Florida,0.680735930736
AM910404/Nicaragua,CW_G66_3/Florida,0.6829004329
AM910404/Nicaragua,FC_G4B_2/Florida,0.6829004329
AM910404/Nicaragua,CW_G66_4/Florida,0.681967213115
AM910404/Nicaragua,PB_H3_5/Florida,0.672077922078
AM910404/Nicaragua,CW_2G_2/Florida,0.669913419913
AM910404/Nicaragua,CW_H2_5/Florida,0.669913419913
AM910403/Nicaragua,AM910407/Nicaragua,0.993846153846
AM910403/Nicaragua,AM910406/Nicaragua,0.993846153846
AM910403/Nicaragua,AM910405//Nicaragua,0.994871794872
AM910403/Nicaragua,AM910401//Nicaragua,0.909743589744
AM910403/Nicaragua,AM910400/Nicaragua,0.897435897436
AM910403/Nicaragua,AM910398/Nicaragua,0.897435897436
AM910403/Nicaragua,AM910399/Nicaragua,0.912820512821
AM910403/Nicaragua,HQ207542/India,0.714131607335
AM910403/Nicaragua,HQ207538//India,0.727076591154
AM910403/Nicaragua,HQ207533/India,0.759439050701
AM910403/Nicaragua,HQ207535//India,0.765911542611
AM910403/Nicaragua,HQ207532/India,0.761596548004
AM910403/Nicaragua,HQ207539/India,0.7238403452
AM910403/Nicaragua,HQ207534/India,0.761596548004
AM910403/Nicaragua,HQ207536/India,0.744336569579
AM910403/Nicaragua,HQ207537//India,0.747572815534
AM910403/Nicaragua,HQ207540/India,0.800215982721
AM910403/Nicaragua,DQ925464/VietNam,0.827692307692
AM910403/Nicaragua,LC114495/Japan,0.777422790202
AM910403/Nicaragua,LC114510/Japan,0.784877529286
AM910403/Nicaragua,AJ628756/China,0.812056737589
AM910403/Nicaragua,LC114506/Japan,0.788072417465
AM910403/Nicaragua,LC114505/Japan,0.805747126437
AM910403/Nicaragua,LC114497/Japan,0.806176783813
AM910403/Nicaragua,LC114493//Japan,0.789137380192
AM910403/Nicaragua,JN692172/China,0.641025641026
AM910403/Nicaragua,LC114498/Japan,0.794462193823
AM910403/Nicaragua,LC114513/Japan,0.800851970181
AM910403/Nicaragua,AY994105/NewZealand,0.810256410256
AM910403/Nicaragua,AY994104/NewZealand,0.812307692308
AM910403/Nicaragua,DQ925466/VietNam,0.85290628707
AM910403/Nicaragua,HQ207541/India,0.694714131607
AM910403/Nicaragua,HQ207530/India,0.837108953614
AM910403/Nicaragua,HQ207531/India,0.853896103896
AM910403/Nicaragua,CW_G4_1/Florida,0.648090815273
AM910403/Nicaragua,WX_Fl1/Florida,0.655314757482
AM910403/Nicaragua,PJ_G2_2/Florida,0.647058823529
AM910403/Nicaragua,FC_3B_1/Florida,0.643962848297
AM910403/Nicaragua,MM_G2-1/Florida,0.643962848297
AM910403/Nicaragua,MM_1_5/Florida,0.646026831785
AM910403/Nicaragua,El_G2_3/Florida,0.646026831785
AM910403/Nicaragua,El_1_2/Florida,0.647058823529
AM910403/Nicaragua,El_1_1/Florida,0.647058823529
AM910403/Nicaragua,El_G2_2/Florida,0.647058823529
AM910403/Nicaragua,FH_G2_5/Florida,0.646026831785
AM910403/Nicaragua,FH_2G_3/Florida,0.644994840041
AM910403/Nicaragua,PJ_4G_4/Florida,0.655026455026
AM910403/Nicaragua,Aa_1_4/Florida,0.644994840041
AM910403/Nicaragua,Aa_1_1/Florida,0.644994840041
AM910403/Nicaragua,Aa_2_1/Florida,0.646026831785
AM910403/Nicaragua,CW_2/Florida,0.646026831785
