First sequence, Second sequence, Identity Score 
PB_G2_4_stripped_,FH2G_4_stripped_,0.985987261146
PB_G2_4_stripped_,FC_G1B_1_stripped_,0.982165605096
PB_G2_4_stripped_,FC_G1B_2_stripped_,0.983439490446
PB_G2_4_stripped_,Aa_14_4_stripped_,0.984713375796
PB_G2_4_stripped_,RF_160_1_stripped_,0.983439490446
PB_G2_4_stripped_,CW_G5_2_stripped_,0.983439490446
PB_G2_4_stripped_,FC_G4B_2_stripped_,0.987261146497
PB_G2_4_stripped_,CW_G66_3_stripped_,0.987261146497
PB_G2_4_stripped_,CW_G66_4_stripped_,0.984713375796
PB_G2_4_stripped_,PB_G1_1_stripped_,0.983439490446
PB_G2_4_stripped_,PB_G2_2_stripped_,0.980891719745
PB_G2_4_stripped_,FC_G4B_3_stripped_,0.984732824427
PB_G2_4_stripped_,FH_G2_2_stripped_,0.946496815287
PB_G2_4_stripped_,PB_H3_5_stripped_,0.942675159236
PB_G2_4_stripped_,CW_2G_2_stripped_,0.943949044586
PB_G2_4_stripped_,CW_H2_5_stripped_,0.940127388535
PB_G2_4_stripped_,MM_G2_3_stripped_,0.910828025478
PB_G2_4_stripped_,FC_4B_1_stripped_,0.928662420382
PB_G2_4_stripped_,CW_G4_4_stripped_,0.926114649682
PB_G2_4_stripped_,CW_G5_5_stripped_,0.924840764331
PB_G2_4_stripped_,WX_Fl1_stripped_,0.913375796178
PB_G2_4_stripped_,CW_G4_1_stripped_,0.884076433121
PB_G2_4_stripped_,PJ_G2_2_stripped_,0.885350318471
PB_G2_4_stripped_,FC_3B_1_stripped_,0.884076433121
PB_G2_4_stripped_,MM_G2_1_stripped_,0.884076433121
PB_G2_4_stripped_,FH_G2_5_stripped_,0.88025477707
PB_G2_4_stripped_,FH_2G_3_stripped_,0.882802547771
PB_G2_4_stripped_,Aa_2_stripped_,0.887898089172
PB_G2_4_stripped_,CW_2Fl_stripped_,0.887898089172
PB_G2_4_stripped_,Aa_G1_3_stripped_,0.887898089172
PB_G2_4_stripped_,PB_G4_3_stripped_,0.887898089172
PB_G2_4_stripped_,PB_G4_1_stripped_,0.886624203822
PB_G2_4_stripped_,Aa_1_1_1_stripped_,0.877707006369
PB_G2_4_stripped_,Aa_1_4_stripped_,0.87898089172
PB_G2_4_stripped_,MM_1_5_stripped_,0.882802547771
PB_G2_4_stripped_,El_G2_3_stripped_,0.884076433121
PB_G2_4_stripped_,El_1_2_stripped_,0.885350318471
PB_G2_4_stripped_,El_1_1_stripped_,0.885350318471
PB_G2_4_stripped_,El_G2_2_stripped_,0.885350318471
PB_G2_4_stripped_,PJ_4G_4_stripped_,0.887898089172
PB_G2_4_stripped_,Aa_1_2_stripped_,0.890445859873
PB_G2_4_stripped_,AF048981_Florida_stripped_,0.898089171975
PB_G2_4_stripped_,CJr_G2_4_stripped_,0.887898089172
PB_G2_4_stripped_,CJr_G2_3_stripped_,0.889171974522
PB_G2_4_stripped_,PJ_G4_2_stripped_,0.887898089172
PB_G2_4_stripped_,PJ_G4_1_stripped_,0.886624203822
PB_G2_4_stripped_,Aa_1_1_stripped_,0.889171974522
PB_G2_4_stripped_,CW_H4_2_stripped_,0.894267515924
PB_G2_4_stripped_,PB_2G_3_stripped_,0.892993630573
PB_G2_4_stripped_,CW_H4_3_stripped_,0.894267515924
PB_G2_4_stripped_,PB_H4_2_stripped_,0.887898089172
PB_G2_4_stripped_,PB2H_1_stripped_,0.892993630573
PB_G2_4_stripped_,CW2H_2_stripped_,0.889171974522
PB_G2_4_stripped_,CW2H_1_stripped_,0.890445859873
PB_G2_4_stripped_,CW_G3_3_stripped_,0.891719745223
PB_G2_4_stripped_,FH2H_3_stripped_,0.891719745223
PB_G2_4_stripped_,CJr_G1_3_stripped_,0.887898089172
PB_G2_4_stripped_,Aa_G2_4_stripped_,0.892993630573
PB_G2_4_stripped_,CJr_G1_4_stripped_,0.887898089172
PB_G2_4_stripped_,PB_H1_1_stripped_,0.931210191083
PB_G2_4_stripped_,AJ298034_China_stripped_,0.88025477707
PB_G2_4_stripped_,AJ298036_Japan_stripped_,0.892993630573
PB_G2_4_stripped_,AJ298033_China_stripped_,0.896815286624
PB_G2_4_stripped_,AF511485_Taiwan_stripped_,0.894267515924
PB_G2_4_stripped_,KT372699_Taiwan_stripped_,0.894267515924
PB_G2_4_stripped_,KT026108_India_stripped_,0.900636942675
PB_G2_4_stripped_,FJ160764_India_stripped_,0.903184713376
PB_G2_4_stripped_,HQ207529_India_stripped_,0.901785714286
PB_G2_4_stripped_,KJ786965_India_stripped_,0.909554140127
PB_G2_4_stripped_,DMU08124_Florida_stripped_,0.891719745223
